gene_short_name,Y(1),Y(2),Y(3),AL 15 (1),AL 15 (2),AL 15 (2),DR 15 (1),DR 15 (2),DR 15 (3),ALtoDR(1),ALtoDR(2),ALtoDR(3),DRtoAL(1),DRtoAL(2),DRtoAL(3)
Gnai3,38.811,36.9753,40.5524,33.793,46.1768,41.7784,39.1855,44.8438,34.3468,43.3792,35.7572,18.9552,44.6537,39.9893,46.117
Pbsn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdc45,0.501738,0.299976,0.61457,0.291909,0.60982,0.128757,0.391977,0.364733,0.294178,0.197761,0.286989,0.305377,0.556614,0.572274,0.463941
H19,0.0950481,0.0833813,0.338557,0.653862,0.0390825,0.159876,0.257482,0.189999,0.397176,0,1.87799,3.14764,17.9836,0.0880727,0.341146
Scml2,0.0118019,0.0499017,0.118961,0.0140305,0,0.0117956,0.031328,0.0116561,0,0.0174192,0.0141117,0,0.0351208,0,0.0126427
Apoh,592.247,460.836,573.954,588.963,789.592,682.293,740.422,893.252,808.534,968.389,977.321,347.936,690.57,630.559,759.144
Narf,3.38853,3.79306,3.96877,2.56648,3.50168,2.51562,4.54641,3.7003,2.60284,10.5229,8.00848,4.92314,9.78286,8.98271,11.3371
Cav2,1.32839,1.95527,1.8123,2.03469,2.19393,2.23613,4.42027,3.31485,2.08535,3.26965,2.12013,1.391,3.2064,3.7116,3.27371
Klf6,3.23841,1.87823,2.37929,6.23086,4.71722,3.81147,6.00328,3.98729,8.11701,10.8683,11.3181,5.60649,3.87033,3.38731,3.87129
Scmh1,4.61066,4.36727,5.83049,3.70344,4.84811,4.19181,4.22628,3.64977,4.27011,1.87865,1.74055,4.27105,2.71383,2.38739,1.22634
Cox5a,299.383,284.012,323.781,213.819,269.368,247.925,321.335,353.297,334.112,61.1031,54.1483,35.5123,50.5086,49.4935,58.9641
Tbx2,0.463133,0.159691,0.57883,0.389626,0.34206,0.341422,0.543391,0.48431,0.627321,0.197308,0.286473,0.615787,0.329021,0.343949,0.297351
Tbx4,0,0,0,0,0,0,0.0830802,0.0201006,0,0,0,0.00930213,0.123253,0,0
Zfy2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ngfr,0.817849,1.18581,0.834623,1.07894,1.19287,1.33118,0.432375,0.353933,0.786066,0.383725,0.232839,0.193867,0.309427,0.444025,0.498516
Wnt3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wnt9a,0.0135586,0.0296596,0.0434918,0.014634,0.0873182,0.0229396,0.0967676,0.278665,0.0779082,0.0991162,0.167039,0.0740988,0.117254,0.0522777,0.01837
Fer,2.28579,2.35655,2.01278,2.42569,3.03294,2.03492,2.6678,2.39101,1.56755,4.07951,4.52696,2.37336,3.48541,3.94845,3.44343
Xpo6,4.34636,3.23416,6.92709,5.98745,5.00416,4.20886,3.8455,4.67936,4.0238,10.0852,8.0854,8.06053,9.68435,13.1208,6.05778
Tfe3,6.25277,3.38635,3.60478,3.52135,4.75215,3.59069,2.95416,4.41679,4.12851,7.24054,3.66326,3.10191,5.48149,2.41772,3.95966
Axin2,2.23858,2.48001,3.06037,2.25174,2.66265,3.45717,2.18952,2.30899,2.03337,1.52385,1.25684,0.274769,1.25636,1.00296,1.29377
Baat1,1.10373,1.07306,1.70422,0.989741,1.19564,1.30155,0.764249,0.704774,0.815442,0.83009,1.29352,0.671551,1.58338,1.38882,1.98905
Gna12,29.5254,23.6569,26.4511,32.5816,24.9341,37.1409,36.3445,37.8059,30.9578,16.1692,12.5305,6.27495,13.4795,15.4767,20.0109
Slc22a18,25.3748,14.1074,25.7922,21.4437,40.8506,29.1342,28.933,32.135,23.3999,30.349,28.9796,14.6009,26.5176,29.7224,27.8359
Itgb2l,0.0321129,0.0492026,0.516137,0.0498406,0.0772612,0.140246,0.0279167,0.0788228,0,0.191494,0.119328,0.0461573,0.152385,0.150719,0.342401
Igsf5,20.8201,15.9295,18.4613,13.6399,22.0014,18.8759,16.292,20.6639,16.1807,21.745,13.1803,5.67963,23.9114,19.7773,24.6366
Pih1d2,0.628942,0.222413,0,0.251755,0.235917,0.195346,0.179903,0.28915,0.509393,0.339295,0.317096,0.05721,0.444066,0.417501,0.447
Dlat,10.9468,7.67607,13.9435,15.4825,23.629,17.9835,12.3399,17.3032,13.0946,17.5603,22.7023,14.8738,21.4948,15.8926,12.082
Sdhd,122.413,113.067,135.371,108.925,128.188,106.329,140.154,160.762,140.376,272.304,258.444,89.5639,191.061,162.235,227.394
Fgf23,0,0,0,0.0279837,0,0,0,0,0,0,0,0,0,0,0
Fgf6,0,0,0,0,0,0,0,0,0,0,0,0,0.0689737,0,0
Ccnd2,1.16769,1.46665,1.42206,1.2358,1.05884,1.06814,1.56324,0.989731,1.16727,0.717513,0.46773,0.533416,1.52242,1.43496,0.976583
Gpr107,3.18414,1.45973,2.89963,1.97215,2.90103,3.80153,2.80269,2.96289,1.11039,4.43601,4.48662,4.60446,5.47683,4.00428,6.08337
Nalcn,0.00641682,0.00723701,0,0.00683677,0,0,0.0172015,0,0.0182233,0,0,0.0116163,0.0250066,0.0180443,0
Btbd17,0.0315923,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slfn4,0.252492,0.117604,0.0349431,0.171711,0.620342,0.088296,0.0216526,0.0481122,0.0326103,0.0208218,0,0.00427166,0.0438286,0.0315004,0.0339851
Th,0,0,0,0,0,0,0,0,0,0,0,0,0.107017,0,0
Ins2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300648,0
Scnn1g,0,0,0,0.0160123,0.0248973,0,0,0,0,0,0,0,0,0.0393623,0
Drp2,0.0120858,1.15E-06,0,0.041166,0.0292796,0.00911374,0.0389289,0,0,0.0113776,3.05E-07,0.0259013,0.0353799,0.021063,0.00997292
Tspan32,0.113196,0.122224,0.05224,0.509409,0.244065,0.102596,0,0.0833489,0.050096,0.0620974,0.121447,0,0.0527038,0.220182,0.0794054
Lhx2,0.943685,0.791869,1.06715,1.54203,0.969425,1.69174,1.36723,0.940214,0.948894,0.725415,1.16427,0.590513,0.706603,1.10486,1.02982
Clec2g,0,0,0,0,0,0,0,0.0987543,0,0,0,0,0.248935,0.18265,0.192465
Gmpr,0.436816,0.222555,0.279755,0.389295,0.140562,0.224395,0.184482,0.113119,0.300481,0.0519732,0.593851,0.596583,0.569469,0.198843,0.125136
Glra1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mid2,1.61807,1.66792,1.73561,1.48078,1.64911,1.72773,1.55472,1.24955,1.2602,1.80318,1.8042,1.76134,3.05746,1.87835,1.57925
Trim25,10.8212,9.57029,8.57284,9.36757,9.02076,8.69297,10.523,10.989,12.1351,10.3725,6.86947,12.5695,8.3292,9.41515,8.38734
Dgke,0.468971,0.218085,0.253006,0.240521,0.314239,0.268453,0.278498,0.317596,0.209899,0.547184,0.672534,0.838979,0.428024,0.24087,0.343396
Scpep1,6.12529,5.41653,5.29697,5.74587,8.21215,6.953,6.54773,6.46581,5.41203,21.7071,23.8126,11.2963,17.7989,17.3541,19.011
Mnt,1.97421,1.03724,1.30259,1.48829,2.08087,1.903,1.57702,1.59847,2.08566,0.995051,1.05755,2.38229,0.873837,0.598008,0.749793
Itgb2,1.34764,1.41205,2.15848,2.47477,3.28813,1.95944,2.04138,1.41543,1.24156,2.79187,1.75089,0.658249,1.69143,1.75107,2.71454
Hddc2,0.867717,0.892072,0.941806,1.11053,1.06078,1.02125,1.94374,1.95863,1.36331,1.44372,1.53479,1.19581,0.366741,0.632891,0.975456
Tpd52l1,3.90461,3.59741,3.37002,5.21416,4.81228,4.3217,6.59046,7.76519,7.44112,6.94546,5.40019,3.64081,4.40927,1.93723,2.82223
Pemt,319.656,234.337,339.176,260.282,440.752,319.394,391.897,494.834,395.481,135.816,160.883,51.7719,108.123,99.6641,130.103
Cdh1,10.2833,11.4336,10.3535,0.539393,0.201505,0.679046,2.50426,2.15851,2.45634,0.76231,0.366039,0.934307,6.17835,6.44094,5.93492
Cdh4,0.080028,0.0504983,0.0948203,0.0796305,0.139382,0.0629059,0.667336,0.0966577,0.192727,0.616332,0.165077,0.0939818,0.224434,0.0651435,0.075719
Ckmt1,0.0284704,0.0302785,0.0881631,0,0,0.109797,3.58844,0.215614,0,0,0.148993,0.191711,0,0.330084,0.0336027
Bcl6b,0.65769,0.466311,0.836691,1.30089,0.539619,1.49883,1.53478,0.836487,1.13842,0.167383,0.713585,0.242515,0.373634,0.550209,0.648972
Clec10a,0.246738,0.0887568,0,0.102878,0.0779723,0.292159,0.903702,0.222715,0.430663,0.379712,0.455415,0.220005,0.561134,0.597586,0.0441958
