gene_short_name,PFAL1,PFAL2,PFAL3,PFDR1,PFDR2,PFDR3
36951,1.39659,1.61593,1.30995,0.597472,1.12005,1.43696
37135,0.796241,0.889215,0.370643,0.300686,0.119165,0
37316,13.1832,16.1246,11.0919,12.4941,9.86916,7.72032
37500,41.3264,45.3028,41.8253,44.8323,40.6417,31.9029
37681,0.304464,0.10609,0.0449597,0.299802,0.0504931,0.39523
37865,0.0563829,0.0124585,0,0.0568881,2.66E-05,0
38047,0.000684473,4.58E-06,0.0128853,0.0151564,0.0205752,0
38231,6.83045,6.86169,7.58924,4.42215,4.49237,7.41564
38412,74.6068,68.5816,48.394,66.9386,61.4892,64.7565
38596,0.121487,0.286677,0.389762,0.367511,0.384829,0
38777,35.0005,24.8131,16.2294,30.657,39.6596,24.9085
38961,0.772295,0.125645,0.959864,0.462461,0.530874,0
39142,15.1353,15.7548,17.4946,11.6811,11.5028,20.4395
39326,31.3604,32.1319,36.4331,34.0803,30.2464,30.6671
39508,24.878,26.0832,20.3723,18.8017,16.2623,13.5346
39692,1.37136,1.75941,1.93964,0.901891,0.843357,0.891106
39873,0.0603956,0.0202469,0.0480142,0.153567,0.0762915,0
40057,36.4829,32.1129,26.5548,31.2588,45.0301,39.6632
40238,0,0,0,0,0,0
40422,12.6262,14.662,8.48821,9.29652,7.61287,7.33802
40603,0,0,0.128192,0,0,0
40787,2.05878,1.9436,3.40013,2.87968,3.06368,1.93696
41153,0,0,0,0,0,0
41883,0.0262412,0.14096,0.111716,0.0833426,0,0
42248,147.103,216.995,181.172,164.21,131.218,102.953
0610005C13Rik,76.831,100.651,59.7259,60.5473,61.104,33.7207
0610007C21Rik,51.8433,59.1765,45.909,62.3498,50.8588,45.8163
0610007L01Rik,16.5098,15.2186,18.6524,19.1608,15.407,16.954
0610007P08Rik,4.94985,3.02356,3.36882,3.73908,6.3458,8.19383
0610007P14Rik,137.916,132.236,75.8643,136.684,110.521,66.5284
0610007P22Rik,12.7957,14.7833,10.0135,15.403,12.0982,8.11358
0610008F07Rik,1.10658,2.33684,0.70547,3.53081,1.21957,1.09906
0610009B14Rik,0,0,0,0,0.0769967,0
0610009B22Rik,17.6552,26.7274,24.8649,22.8359,19.5782,7.29194
0610009D07Rik,13.7925,21.6949,16.7999,22.9015,16.5306,14.4728
0610009E02Rik,0.307796,0,0.23032,0.171058,0.593235,0
